,UMAP1,UMAP2,profile
164,7.482058,-7.525083,2
165,2.484604,2.0394716,2
166,7.85051,-2.2300396,2
167,7.849245,-2.231003,2
168,10.607298,-2.6158283,2
169,-20.73815,6.042604,4
170,7.2773986,-7.066007,2
171,2.4813395,2.0426345,2
172,12.800333,2.1193178,2
173,3.438147,8.1905155,0
174,11.07679,1.4105988,2
175,-0.7663566,7.1983614,0
176,14.497441,-7.320692,2
177,11.077068,1.4102688,2
178,12.610623,1.4461155,2
179,3.4849513,8.104272,0
180,13.071775,1.7678354,2
181,12.623106,1.477206,2
182,3.5663745,8.1355095,0
183,7.805494,-2.2853477,2
184,-7.5052285,11.581267,4
185,33.09076,3.0894513,5
186,-14.118261,-10.5474,4
187,-14.117189,-10.546335,4
188,-14.117924,-10.547118,4
189,33.090748,3.0894308,5
190,10.584138,-24.581667,1
191,-18.02782,21.322613,4
192,10.556026,-24.47884,1
193,10.383221,-24.308336,1
194,-21.48486,-18.06589,4
195,-21.483541,-18.065346,4
196,-7.5051975,11.581315,4
197,-20.806217,5.974542,4
198,-21.483486,-18.065334,4
199,32.228264,-6.822891,5
200,-21.483555,-18.065254,4
201,32.198673,-6.8527083,5
202,-20.813301,5.9674664,4
203,-22.68513,-2.683692,4
204,-20.692266,6.0885267,4
205,-23.58358,-10.283746,4
206,10.431681,-24.943844,1
207,10.670845,-24.694275,1
208,-20.772747,6.008047,4
209,10.670157,-24.75365,1
210,-5.326218,35.6722,3
211,-18.030613,21.325441,4
212,10.410886,-24.910704,1
213,10.683339,-24.819859,1
214,10.587871,-24.393963,1
215,-18.031929,21.326738,4
216,32.199047,-6.852309,5
217,-18.026314,21.321115,4
218,10.309044,-24.715046,1
219,10.523306,-24.417116,1
220,-20.719847,6.060958,4
221,10.387297,-24.289148,1
222,10.371036,-24.291727,1
223,32.23804,-6.812698,5
224,-22.682476,-2.6851826,4
225,-18.032463,21.327265,4
226,10.622011,-24.780039,1
227,10.384226,-24.635775,1
228,-1.0364969,7.784873,0
229,1.4668335,3.0943806,0
230,2.5126414,2.0116584,2
231,1.2758893,2.9759164,0
232,-0.98077196,7.7299223,0
233,11.077099,1.4106082,2
234,14.517343,-7.3034506,2
235,-1.049644,7.796334,0
236,2.4645143,2.058629,2
237,-23.380861,-10.076739,4
238,-14.117864,-10.54701,4
239,32.171024,-6.88031,5
240,-14.118123,-10.54732,4
241,32.194237,-6.857163,5
242,-23.380411,-10.07628,4
243,-18.027632,21.322447,4
244,-20.760004,6.0207615,4
245,3.8452437,8.174238,0
246,11.931782,1.5132638,2
247,1.0942522,2.6385088,0
248,-0.96411085,7.7087264,0
249,-0.7499513,7.174789,0
250,12.604309,1.4407831,2
251,2.4725654,2.050421,2
252,1.2878826,2.983197,0
253,7.5085263,-7.6505303,2
254,3.5660608,7.998749,0
255,3.657174,7.9237313,0
256,11.15102,1.4750532,2
257,2.3016067,2.115914,2
258,11.08614,1.4154524,2
259,-0.9521562,7.6799707,0
260,11.100664,1.4284438,2
261,14.5053625,-7.3145895,2
262,12.59522,1.4368079,2
263,-23.585283,-10.285454,4
264,12.607066,1.4552442,2
265,12.676934,1.791146,2
266,-0.502111,-6.462171,2
267,33.090736,3.0894578,5
268,-18.028961,21.323803,4
269,-18.030844,21.325657,4
270,10.426275,-24.681852,1
271,1.0247526,2.4864478,0
272,-1.5853083,-12.885018,2
273,-1.5862665,-12.882957,2
274,12.939097,1.7467432,2
275,7.148329,-2.3905394,2
276,13.431447,-3.9320247,2
277,11.15418,1.4751513,2
278,1.5201268,3.1798308,0
279,-0.51320225,-6.4938927,2
280,3.8312669,8.177251,0
281,3.4394135,8.19366,0
282,1.0433483,2.4980745,0
283,3.7104914,7.9621544,0
284,1.0845084,2.622055,0
285,13.084942,1.2026492,2
286,12.748266,1.6290103,2
287,-1.4029089,-13.095445,2
288,-1.0311899,7.777402,0
289,-0.89038545,7.59743,0
290,11.153383,1.4722397,2
291,10.058789,-1.9133114,2
292,-0.9910201,7.713938,0
293,1.2900229,2.987791,0
294,-14.116544,-10.545708,4
295,32.18903,-6.862294,5
296,33.090714,3.0894792,5
297,32.185654,-6.8656745,5
298,-14.117401,-10.546547,4
299,-14.118748,-10.54794,4
300,-18.031822,21.32663,4
301,-23.586306,-10.287475,4
302,-22.699457,-2.678661,4
303,-21.483526,-18.06524,4
304,-20.68938,6.0914197,4
305,10.701385,-24.574202,1
306,10.479691,-24.791529,1
307,-5.099981,-27.601225,4
308,10.621376,-24.485878,1
309,10.401283,-24.574457,1
310,-18.033081,21.327892,4
311,10.520975,-24.727781,1
312,10.520769,-24.482376,1
313,-5.324506,35.67044,3
314,10.659426,-24.441078,1
315,-22.69563,-2.6721878,4
316,-23.580456,-10.28064,4
317,-10.923357,9.571283,4
318,32.224556,-6.8265986,5
319,10.770423,-24.35469,1
320,-5.100002,-27.601261,4
321,7.438291,-2.5874546,2
322,-14.119931,-10.549105,4
323,33.0907,3.0895035,5
324,-18.031593,21.326384,4
325,32.20405,-6.847296,5
326,-22.685225,-2.6814187,4
327,-23.379713,-10.075599,4
328,32.234024,-6.817132,5
329,4.5315886,-2.4912481,2
330,-0.8066014,7.293379,0
331,10.675617,-24.788202,1
332,10.0686455,-1.9234042,2
333,1.0225906,2.4793243,0
334,3.846515,8.171328,0
335,1.5336726,3.1914728,0
336,10.609913,-2.619349,2
337,-0.7307014,7.1376934,0
338,-22.694973,-2.672557,4
339,10.75086,-24.346329,1
340,-11.1640005,15.595221,4
341,10.582233,-24.511974,1
342,11.89374,1.4878339,2
343,11.119104,1.446756,2
344,1.4986912,3.1587484,0
345,2.48321,2.0422204,2
346,-0.7555265,7.17373,0
347,-0.7505022,7.160707,0
348,12.634137,1.7160333,2
349,12.628968,1.7222395,2
350,3.5451086,8.051737,0
351,12.734207,1.6567142,2
352,2.4581842,2.0663579,2
353,13.694329,-0.6272527,2
354,7.8487487,-2.2328172,2
355,2.4856877,2.0385294,2
356,-0.887462,7.5975966,0
357,7.5446405,-7.4570403,2
358,11.079628,1.4121779,2
359,13.150728,1.7763345,2
360,12.788517,2.083637,2
361,2.47579,2.0493722,2
362,3.5683222,8.01321,0
363,13.028379,1.7277981,2
364,10.604315,-2.6122017,2
365,11.231528,1.4858965,2
366,12.778346,2.0716023,2
367,10.072783,-1.9275532,2
368,10.074244,-1.9293259,2
369,10.608959,-2.6173398,2
370,7.1420016,-2.38321,2
371,7.1387157,-2.3801982,2
372,1.0196744,2.477952,0
373,1.0140293,2.4704812,0
374,1.0862602,2.6236873,0
375,13.046765,1.8026018,2
376,-0.80238295,7.2703075,0
377,32.185856,-6.865484,5
378,-8.811661,0.20147777,4
379,-0.7347196,7.14299,0
380,-14.119328,-10.548542,4
381,-21.483295,-18.065022,4
382,-10.711459,4.1716423,4
383,-14.117302,-10.546449,4
384,-18.03317,21.327974,4
385,-18.023771,21.318596,4
386,-18.028366,21.323145,4
387,-22.687014,-2.680925,4
388,-5.100038,-27.601261,4
389,10.681163,-24.622746,1
390,-20.804804,5.975982,4
391,10.455787,-24.901302,1
392,-10.923236,9.57137,4
393,32.22801,-6.823136,5
394,-22.703314,-2.6641726,4
395,32.19441,-6.8574657,5
396,-22.696756,-2.671256,4
397,-20.787844,5.992972,4
398,-20.753204,6.0275674,4
399,-22.702188,-2.6654594,4
400,-18.035206,21.330029,4
401,-7.505236,11.581275,4
402,10.964825,-24.72419,1
403,10.544147,-24.719637,1
404,10.42658,-24.924908,1
405,-7.3573446,6.034229,4
406,10.431066,-24.497107,1
407,-23.583061,-10.283239,4
408,-21.483543,-18.065212,4
409,-7.5052323,11.58124,4
410,-18.0281,21.322899,4
