,UMAP1,UMAP2,UMAP3,profile
128,6.050366,20.15751,11.597312,3
129,5.101574,17.709618,3.2026644,3
130,-0.53821105,7.958856,3.0765233,5
131,14.1900215,11.470718,3.6943839,5
132,6.6471934,16.860052,3.8048446,3
133,5.1062503,17.60622,3.1382868,3
134,6.097582,20.051596,11.493472,3
135,5.853922,19.740381,10.952803,3
136,14.473892,11.715372,3.6792834,5
137,-15.246932,18.100979,10.852476,3
138,-15.254968,18.10902,10.844344,3
139,-16.22147,-3.709286,8.184162,1
140,-15.1716795,18.025667,10.929037,3
141,2.438827,2.9850395,-17.474943,1
142,1.4960706,-19.283909,-1.7831821,1
143,-15.247932,18.10193,10.852302,3
144,16.697954,32.012375,-0.5031035,0
145,-10.002289,-14.337123,4.222296,1
146,16.848944,32.03169,-0.4446315,0
147,16.81247,32.109325,-0.47599712,0
148,16.993189,32.009895,-0.331241,0
149,16.74438,32.125412,-0.17129408,0
150,15.444461,7.056303,-13.790432,5
151,16.710697,31.971195,-0.54645616,0
152,-16.79209,9.351156,4.952167,1
153,15.444243,7.0556855,-13.789807,5
154,-15.242034,18.096031,10.858289,3
155,17.01775,32.006184,-0.33025572,0
156,7.4813533,15.232705,9.809423,3
157,5.3230143,19.187859,9.995598,3
158,15.443418,7.047273,-13.781361,5
159,0.9698761,0.746843,-8.68395,1
160,21.1697,14.670112,3.8234413,5
161,-0.53513527,7.955963,3.079547,5
162,7.5013323,15.255649,9.7978325,3
163,6.72838,17.142492,3.4431636,3
164,6.811679,17.223097,3.370561,3
165,5.5368366,16.585424,4.265124,3
166,7.3684287,16.21738,9.879559,3
167,7.3717327,16.213945,9.876647,3
168,11.6340685,16.483368,6.701377,3
169,-9.975292,-14.365436,4.285402,1
170,6.649596,16.873573,3.7913888,3
171,5.529068,16.567116,4.2879944,3
172,4.052132,19.912994,8.718956,3
173,20.999357,14.7600155,3.671774,5
174,5.4412727,18.733856,10.081196,3
175,5.8904448,19.789095,11.005592,3
176,14.614594,9.535067,0.44455373,5
177,5.428212,18.747553,10.065665,3
178,4.281045,19.272774,8.702894,3
179,21.09586,14.731035,3.7414353,5
180,4.0766068,19.6345,8.36536,3
181,4.2961855,19.28962,8.682821,3
182,21.098814,14.640399,3.7886877,5
183,7.4219847,16.149103,9.840744,3
184,0.9698791,0.7468447,-8.683949,1
185,-10.930394,14.007881,9.88898,3
186,-3.3980696,-14.365624,-9.840386,1
187,-3.3993907,-14.364291,-9.841472,1
188,-3.3985217,-14.365202,-9.840703,1
189,-10.930413,14.00786,9.88897,3
190,16.867174,32.086075,-0.44328466,0
191,1.492432,-19.278942,-1.7779232,1
192,16.89459,32.13334,-0.42001343,0
193,17.005384,32.34894,-0.41766185,0
194,-16.219944,-3.7107878,8.185655,1
195,-16.22131,-3.7094371,8.184308,1
196,0.96988314,0.7468478,-8.683949,1
197,-9.986069,-14.354058,4.233022,1
198,-16.221508,-3.7092426,8.184116,1
199,-15.213984,18.067987,10.886506,3
200,-16.217674,-3.713044,8.187905,1
201,-15.261227,18.11522,10.839142,3
202,-9.99449,-14.34591,4.237212,1
203,2.436985,2.9818892,-17.473103,1
204,-9.930539,-14.411595,4.3165507,1
205,-12.016447,8.24864,-4.38224,1
206,16.509493,31.96739,-0.295597,0
207,16.778748,31.945778,-0.37226626,0
208,-9.958847,-14.382749,4.2711754,1
209,16.72548,31.95314,-0.46847486,0
210,15.441239,7.051553,-13.78566,5
211,1.4858035,-19.269976,-1.7728552,1
212,16.51894,32.00046,-0.30030093,0
213,16.668833,31.872334,-0.4742824,0
214,17.036726,32.1011,-0.33347425,0
215,1.4900699,-19.27682,-1.7786182,1
216,-15.252741,18.10673,10.847649,3
217,1.4959003,-19.282541,-1.7806606,1
218,16.693281,32.234425,-0.41917676,0
219,16.945875,32.09854,-0.23811543,0
220,-10.050176,-14.291369,4.301174,1
221,17.019922,32.338703,-0.4232451,0
222,17.011784,32.3579,-0.42056808,0
223,-15.1672735,18.021261,10.933427,3
224,2.4295135,2.9860427,-17.465649,1
225,1.4977441,-19.283741,-1.7830663,1
226,16.708311,31.923904,-0.36363596,0
227,16.682003,32.124302,-0.24693374,0
228,6.063393,20.179474,11.620451,3
229,5.0221057,17.105417,2.8860018,3
230,5.541038,16.554651,4.300714,3
231,5.122795,17.270836,2.8561819,3
232,6.1226134,20.04674,11.50934,3
233,5.418446,18.755058,10.064988,3
234,14.644004,9.506782,0.44463363,5
235,6.0466576,20.161142,11.600552,3
236,5.501942,16.600912,4.253445,3
237,-12.180594,8.076836,-4.234946,1
238,-3.4006808,-14.363001,-9.842818,1
239,-15.263534,18.117579,10.8359165,3
240,-3.4005454,-14.363282,-9.842274,1
241,-15.249076,18.103065,10.851209,3
242,-12.181349,8.076119,-4.2342725,1
